Pos.,Giocatore,Nazione,Ruolo,Squadra,Competizione,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
1,Max Aarons,ENG,Dif,Bournemouth,Premier League,25-022,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,0,0,0,2,0
2,Rodrigo Abajas,ESP,Dif,Valencia,La Liga,21-259,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,1,0,2,0,1
3,James Abankwah,IRL,Dif.Cen,Udinese,Serie A,21-010,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0,4,3,0
4,Keyliane Abdallah,FRA,Att,Marseille,Ligue 1,18-296,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
5,Yunis Abdelhamid,MAR,Dif,Saint-Étienne,Ligue 1,37-120,1987,11,11,936,10.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,4,22,2,1,16,6,0
6,Himad Abdelli,ALG,Cen.Att,Angers,Ligue 1,25-070,1999,18,18,1.592,17.7,4,1,5,2,2,3,1,0,4.2,1.8,2.6,4.5,70,126,20,5,28,20,2
7,Mohamed Abdelmoneim,EGY,Dif,Nice,Ligue 1,25-360,1999,8,7,608,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,0,0,4,6,0
8,Ali Abdi,TUN,Dif.Cen,Nice,Ligue 1,31-037,1993,10,7,675,7.5,2,2,4,2,0,0,1,0,1.1,1.1,1.3,2.5,20,21,15,5,12,3,1
9,Saud Abdulhamid,KSA,Dif,Roma,Serie A,25-192,1999,3,1,142,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,1,0,1,4,0
10,Abel,ESP,Dif,Osasuna,La Liga,24-158,2000,20,12,1.224,13.6,2,0,2,2,0,0,2,0,0.4,0.4,0.6,1.0,31,45,9,3,12,15,1
11,Nabil Aberdin,FRA,Cen,Getafe,La Liga,22-156,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0,7,6,0
12,Oliver Abildgaard,DEN,Cen,Como,Serie A,28-230,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
13,Matthis Abline,FRA,Att,Nantes,Ligue 1,21-304,2003,18,17,1.406,15.6,5,0,5,4,1,1,1,0,4.8,4.0,1.7,5.7,33,28,46,16,15,21,3
14,Abner,BRA,Dif,Lyon,Ligue 1,24-244,2000,12,9,789,8.8,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,19,48,6,3,11,4,0
15,Zakaria Aboukhlal,MAR,Cen.Att,Toulouse,Ligue 1,24-343,2000,18,17,1.420,15.8,6,2,8,5,1,2,3,0,8.9,7.4,1.3,8.7,27,20,47,20,29,16,5
16,Abdel Abqar,MAR,Dif,Alavés,La Liga,25-322,1999,19,19,1.578,17.5,0,1,1,0,0,0,9,0,0.4,0.4,0.2,0.6,11,58,5,1,34,14,1
17,Tammy Abraham,ENG,Att,Roma,Serie A,27-116,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
18,Tammy Abraham,ENG,Att,Milan,Serie A,27-116,1997,15,7,717,8.0,2,2,4,1,1,2,0,0,6.1,4.4,1.2,5.6,4,14,0,0,0,0,0
19,Federico Accornero,ITA,Cen,Genoa,Serie A,20-356,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20,Francesco Acerbi,ITA,Dif,Inter,Serie A,36-351,1988,9,9,670,7.4,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,5,29,3,1,4,8,0
21,Joshua Acheampong,ENG,Dif,Chelsea,Premier League,18-266,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,2,0,0,1,0
22,Akor Adams,NGA,Att,Montpellier,Ligue 1,24-363,2000,15,13,1.075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,26,12,17,8,16
23,Che Adams,SCO,Att,Torino,Serie A,28-197,1996,21,16,1.424,15.8,7,2,9,7,0,0,1,0,4.3,4.3,1.6,5.9,13,17,35,16,13,25,14
24,Tyler Adams,USA,Cen,Bournemouth,Premier League,25-347,1999,13,8,776,8.6,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,5,35,5,1,18,8,0
25,Junior Adamu,AUT,Att,Freiburg,Bundesliga,23-234,2001,15,11,926,10.3,2,1,3,2,0,0,3,1,3.9,3.9,1.4,5.4,5,6,22,8,22,16,8
26,Tosin Adarabioyo,ENG,Dif,Chelsea,Premier League,27-124,1997,11,8,733,8.1,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,1,20,6,2,4,2,1
27,Martin Adeline,FRA,Cen,Reims,Ligue 1,21-055,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0
28,Karim Adeyemi,GER,Att.Cen,Dortmund,Bundesliga,23-008,2002,10,6,496,5.5,2,3,5,2,0,0,1,0,1.1,1.1,2.0,3.0,23,8,15,7,7,4,1
29,Simon Adingra,CIV,Att.Cen,Brighton,Premier League,23-025,2002,15,6,553,6.1,2,1,3,2,0,0,0,0,1.4,1.4,0.9,2.3,20,8,13,4,9,0,0
30,Amine Adli,MAR,Cen,Leverkusen,Bundesliga,24-261,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,9,5,0,2,7,0
31,Yacine Adli,FRA,Cen,Fiorentina,Serie A,24-181,2000,18,12,1.043,11.6,2,4,6,2,0,0,1,0,0.4,0.4,2.1,2.5,21,92,10,3,9,16,0
32,Adrián,ESP,Por,Betis,La Liga,38-023,1987,2,2,180,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
33,Adryelson,BRA,Dif,Lyon,Ligue 1,26-309,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
34,Vasilije Adžić,MNE,Cen.Att,Juventus,Serie A,18-259,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0
35,Michel Aebischer,SUI,Cen,Bologna,Serie A,28-020,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,5,2,8,8,0
36,Oladapo Afolayan,ENG,Att.Cen,St. Pauli,Bundesliga,26-349,1998,18,13,1.201,13.3,2,1,3,2,0,0,2,0,2.6,2.6,3.2,5.8,38,22,27,9,17,30,9
37,Emmanuel Agbadou,CIV,Dif,Wolves,Premier League,27-223,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,1,0,0,1,1
38,Emmanuel Agbadou,CIV,Dif,Reims,Ligue 1,27-223,1997,14,14,1.260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,1,0,0,1,1
39,Asher Agbinone,ENG,Cen,Crystal Palace,Premier League,19-120,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0,0,0,0
40,Julen Agirrezabala,ESP,Por,Athletic Club,La Liga,24-031,2000,14,14,1.206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,3,1,0
41,Lucien Agoume,FRA,Cen,Sevilla,La Liga,22-352,2002,19,12,1.026,11.4,0,0,0,0,0,0,3,1,0.2,0.2,0.6,0.8,13,52,5,0,22,3,2
42,Felix Agu,GER,Dif,Werder Bremen,Bundesliga,25-121,1999,10,10,799,8.9,2,0,2,2,0,0,1,0,0.7,0.7,0.9,1.5,17,16,3,3,7,17,2
43,Álvaro Aguado,ESP,Cen,Espanyol,La Liga,28-270,1996,10,3,325,3.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,8,24,9,0,3,7,0
44,Lorenzo Aguado,ESP,Dif,Real Madrid,La Liga,22-129,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
45,Nayef Aguerd,MAR,Dif,Real Sociedad,La Liga,28-302,1996,15,15,1.279,14.2,0,0,0,0,0,0,3,0,2.0,2.0,0.1,2.1,14,47,11,4,8,17,0
46,Ruben Aguilar,FRA,Dif,Lens,Ligue 1,31-275,1993,5,3,270,3.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,14,2,0,5,2,1
47,Naouirou Ahamada,FRA,Att,Rennes,Ligue 1,22-303,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
48,Honest Ahanor,ITA,Dif,Genoa,Serie A,16-338,2008,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,0,0,4,0
49,Erik Ahlstrand,SWE,Att.Cen,St. Pauli,Bundesliga,23-104,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1
50,Jean-Eudes Aholou,CIV,Cen,Angers,Ligue 1,30-312,1994,17,17,1.323,14.7,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.6,13,50,22,6,33,15,1
51,Joseph Aidoo,GHA,Dif,Celta Vigo,La Liga,29-119,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
52,Ayman Aiki,FRA,Att.Cen,Saint-Étienne,Ligue 1,19-215,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,3,1,4,1,0
53,Ola Aina,NGA,Dif,Nott'ham Forest,Premier League,28-110,1996,23,23,1.991,22.1,2,1,3,2,0,0,2,0,0.6,0.6,0.6,1.1,45,78,7,2,14,25,2
54,Rayan Aït-Nouri,ALG,Dif,Wolves,Premier League,23-234,2001,22,22,1.881,20.9,3,5,8,3,0,0,6,1,1.5,1.5,2.3,3.8,52,73,19,5,22,22,2
55,Kristoffer Ajer,NOR,Dif,Brentford,Premier League,26-284,1998,10,9,717,8.0,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.2,15,27,3,2,8,4,0
56,Ludovic Ajorque,FRA,Att,Brest,Ligue 1,30-336,1994,16,14,1.213,13.5,6,1,7,6,0,1,3,0,3.7,2.9,1.4,4.2,3,23,18,11,28,16,7
57,Manuel Akanji,SUI,Dif,Manchester City,Premier League,29-191,1995,19,19,1.617,18.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,36,126,9,1,15,9,0
58,Ümit Akdag,ROU,Dif,Toulouse,Ligue 1,21-112,2003,4,4,296,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,21,1,0,6,0,0
59,Nathan Aké,NED,Dif,Manchester City,Premier League,29-343,1995,9,7,602,6.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,39,3,0,2,0,0
60,Ilias Akhomach,MAR,Cen.Att,Villarreal,La Liga,20-285,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,17,6,9,21,1
61,Sergio Akieme,ESP,Dif,Reims,Ligue 1,27-041,1997,16,15,1.342,14.9,1,1,2,1,0,0,3,0,0.5,0.5,1.0,1.5,29,35,13,3,17,12,0
62,Maghnes Akliouche,FRA,Att.Cen,Monaco,Ligue 1,22-336,2002,17,13,1.195,13.3,3,5,8,3,0,0,1,0,3.9,3.9,4.5,8.4,60,89,32,7,15,20,6
63,Clément Akpa,CIV,Dif,Auxerre,Ligue 1,23-063,2001,18,16,1.426,15.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,20,53,4,1,5,17,0
64,Jean-Daniel Akpa-Akpro,CIV,Cen.Dif,Monza,Serie A,32-107,1992,3,2,184,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,4,0,0,8,3,0
65,David Akpan Ankeye,NGA,Att.Cen,Genoa,Serie A,22-347,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,3,1,0
66,Kevin Akpoguma,NGA,Dif,Hoffenheim,Bundesliga,29-282,1995,17,13,1.241,13.8,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,8,51,0,0,21,12,0
67,David Alaba,AUT,Dif,Real Madrid,La Liga,32-216,1992,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0,0,0,0
68,Andreas Albers,DEN,Att,St. Pauli,Bundesliga,34-309,1990,13,0,61,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,3,1,2,2,0
69,Raúl Albiol,ESP,Dif,Villarreal,La Liga,39-144,1985,15,14,1.188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,2,0,11,6,0
70,Carlos Alcaraz,ARG,Cen,Southampton,Premier League,22-057,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,1,1,0,0
71,Omar Alderete,PAR,Dif,Getafe,La Liga,28-031,1996,19,19,1.696,18.8,0,0,0,0,0,0,4,0,0.5,0.5,0.9,1.4,22,74,20,6,18,6,5
72,Carles Aleñá,ESP,Cen.Att,Getafe,La Liga,27-021,1998,9,5,438,4.9,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,5,1,8,11,2
73,Trent Alexander-Arnold,ENG,Dif,Liverpool,Premier League,26-111,1998,21,20,1.665,18.5,1,6,7,1,0,0,4,0,1.0,1.0,6.3,7.4,40,155,27,4,9,6,1
74,Alfon,ESP,Att.Cen,Celta Vigo,La Liga,25-267,1999,12,4,434,4.8,1,1,2,1,0,0,0,1,2.4,2.4,1.7,4.0,33,9,21,6,10,12,0
75,Mohamed Ali Cho,FRA,Att.Cen,Nice,Ligue 1,21-007,2004,14,12,883,9.8,2,2,4,2,0,0,1,0,1.7,1.7,2.5,4.2,35,30,15,8,8,25,8
76,Faride Alidou,GER,Att.Cen,Hellas Verona,Serie A,23-192,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0
77,Alisson,BRA,Por,Liverpool,Premier League,32-116,1992,14,14,1.248,13.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0,0,1,0
78,Tadeo Allende,ARG,Att,Celta Vigo,La Liga,25-341,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
79,Jim Allevinah,GAB,Att,Angers,Ligue 1,29-334,1995,14,13,946,10.5,0,3,3,0,0,0,3,0,2.0,2.0,2.1,4.2,22,33,23,4,10,17,6
80,Domingos André Ribeiro Almeida,POR,Cen.Att,Valencia,La Liga,24-241,2000,17,10,925,10.3,0,0,0,0,0,0,1,0,0.4,0.4,0.9,1.3,17,66,9,3,18,8,2
81,Iker Almena,ESP,Att.Dif,Girona,La Liga,20-267,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,1,0,0,1,0
82,Miguel Almirón,PAR,Att,Newcastle Utd,Premier League,30-351,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.8,3,6,6,2,1,3,2
83,Pontus Almqvist,SWE,Att.Cen,Parma,Serie A,25-200,1999,18,5,647,7.2,1,1,2,1,0,0,1,0,1.1,1.1,1.3,2.3,28,8,17,7,8,11,1
84,Marcos Alonso,ESP,Dif,Celta Vigo,La Liga,34-029,1990,15,13,1.260,14.0,0,0,0,0,0,0,5,1,0.6,0.6,0.3,0.9,26,93,13,5,12,11,2
85,Giorgio Altare,ITA,Dif,Venezia,Serie A,26-170,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,3,1,10,2,0
86,Adrià Altimira,ESP,Dif.Att,Leganés,La Liga,23-304,2001,11,9,778,8.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,14,20,4,1,11,14,2
87,Sergi Altimira,ESP,Cen,Betis,La Liga,23-154,2001,18,13,1.196,13.3,0,1,1,0,0,0,2,0,1.5,1.3,1.4,2.8,13,66,14,2,20,24,0
88,Edson Álvarez,MEX,Cen,West Ham,Premier League,27-094,1997,18,13,1.141,12.7,0,0,0,0,0,0,7,1,0.2,0.2,0.6,0.8,14,50,9,1,24,15,0
89,Hugo Álvarez,ESP,Cen.Dif,Celta Vigo,La Liga,21-208,2003,20,13,1.281,14.2,4,1,5,4,0,0,4,0,2.3,2.3,0.6,3.0,63,43,22,8,21,12,2
90,Julián Álvarez,ARG,Att.Cen,Atlético Madrid,La Liga,24-361,2000,21,16,1.366,15.2,6,2,8,6,0,0,4,0,5.9,5.9,2.1,8.0,46,48,40,19,18,2,7
91,Yeray Álvarez,ESP,Dif,Athletic Club,La Liga,30-002,1995,11,10,902,10.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,9,61,3,1,8,12,0
92,Skelly Alvero,FRA,Cen,Werder Bremen,Bundesliga,22-267,2002,10,1,133,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0,4,5,0
93,Will Alves,ENG,Att,Leicester City,Premier League,19-358,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
94,Selim Amallah,MAR,Cen.Att,Valladolid,La Liga,28-072,1996,14,11,829,9.2,2,1,3,1,1,1,3,0,2.6,1.8,0.3,2.1,15,29,15,5,19,15,0
95,Amath,SEN,Att.Dif,Valladolid,La Liga,28-194,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,7,11,5,1,3,5,2
96,Jordan Amavi,FRA,Dif,Brest,Ligue 1,30-323,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,8,3,15,6,0
97,Aurele Amenda,SUI,Dif,Eint Frankfurt,Bundesliga,21-179,2003,4,1,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,1,1,0,0,3,1,0
98,Kelvin Amian,FRA,Dif.Cen,Nantes,Ligue 1,26-353,1998,15,12,1.157,12.9,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,21,37,4,2,16,4,0
99,Michael Amir Murillo,PAN,Dif,Marseille,Ligue 1,28-350,1996,17,14,1.334,14.8,0,2,2,0,0,0,0,0,0.5,0.5,1.9,2.4,15,74,8,1,14,11,1
100,Nadiem Amiri,GER,Cen,Mainz 05,Bundesliga,28-091,1996,16,16,1.285,14.3,4,2,6,2,2,2,5,2,3.4,1.8,4.3,6.1,25,104,31,15,22,30,1
101,Samuel Amo-Ameyaw,ENG,Att.Dif,Southampton,Premier League,18-192,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,1,0,1,2,0
102,Mathis Amougou,FRA,Cen,Saint-Étienne,Ligue 1,19-008,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,7,1,6,8,0
103,Mohamed Amoura,ALG,Att,Wolfsburg,Bundesliga,24-262,2000,17,16,1.381,15.3,8,6,14,8,0,0,3,0,4.6,4.6,2.2,6.8,54,34,47,17,15,14,14
104,Sofyan Amrabat,MAR,Cen,Fiorentina,Serie A,28-158,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,0,0,4,1,0
105,Joachim Andersen,DEN,Dif,Crystal Palace,Premier League,28-240,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,1,2,0,0
106,Joachim Andersen,DEN,Dif,Fulham,Premier League,28-240,1996,13,13,1.143,12.7,0,0,0,0,0,0,2,1,0.2,0.2,0.2,0.5,6,52,1,1,2,0,0
107,Elliot Anderson,ENG,Cen,Nott'ham Forest,Premier League,22-081,2002,22,18,1.471,16.3,1,5,6,1,0,0,5,0,1.1,1.1,2.8,3.9,33,72,24,5,26,31,2
108,André,BRA,Cen,Wolves,Premier League,23-194,2001,18,16,1.222,13.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5,46,2,1,18,19,0
109,Benjamin André,FRA,Cen,Lille,Ligue 1,34-176,1990,17,17,1.522,16.9,0,1,1,0,0,0,9,0,1.2,1.2,1.1,2.3,17,126,13,3,26,30,3
110,Marcos André,BRA,Att,Valladolid,La Liga,28-098,1996,14,9,777,8.6,1,1,2,1,0,0,4,0,1.7,1.7,0.6,2.3,9,9,13,1,9,25,5
111,Robert Andrich,GER,Cen,Leverkusen,Bundesliga,30-126,1994,15,13,1.060,11.8,2,1,3,2,0,0,5,0,1.1,1.1,0.1,1.3,7,45,17,4,24,12,0
112,Angeliño,ESP,Dif,Roma,Serie A,28-022,1997,21,21,1.799,20.0,0,1,1,0,0,0,1,0,0.3,0.3,2.0,2.3,35,118,8,1,19,16,4
113,Lorenzo Anghelè,ITA,Att,Juventus,Serie A,19-335,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
114,Faustino Anjorin,ENG,Cen,Empoli,Serie A,23-064,2001,16,12,935,10.4,0,3,3,0,0,0,2,0,0.8,0.8,1.6,2.4,26,50,18,4,19,16,0
115,Waldemar Anton,GER,Dif,Dortmund,Bundesliga,28-190,1996,14,11,959,10.7,0,1,1,0,0,0,3,0,0.4,0.4,0.1,0.5,19,68,11,0,12,13,0
116,Leandro Antonetti,PUR,Att,Sevilla,La Liga,22-013,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
117,Michail Antonio,JAM,Att,West Ham,Premier League,34-304,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,19,4,12,7,4
118,Antoniu,ESP,Cen,Espanyol,La Liga,22-143,2002,10,5,385,4.3,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.5,12,11,6,3,8,9,3
119,Antony,BRA,Dif.Cen,Manchester Utd,Premier League,24-337,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,6,3,2,5,0
120,Anuar,MAR,Att.Cen,Valladolid,La Liga,30-011,1995,12,10,866,9.6,2,0,2,2,0,0,4,0,1.1,1.1,0.4,1.5,10,11,6,3,14,25,5
121,Dennis Appiah,FRA,Dif,Saint-Étienne,Ligue 1,32-231,1992,18,14,1.379,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.9,1.9,33,60,2,0,23,7,1
122,Aritz Arambarri,ESP,Dif,Leganés,La Liga,26-361,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0,0,0,0
123,Mauro Arambarri,URU,Cen,Getafe,La Liga,29-118,1995,19,15,1.281,14.2,5,0,5,3,2,2,6,0,3.8,2.2,0.3,2.5,8,35,24,7,21,21,2
124,Jon Aramburu,VEN,Dif,Real Sociedad,La Liga,22-187,2002,17,15,1.287,14.3,0,0,0,0,0,0,5,0,0.2,0.2,0.8,1.0,17,59,5,2,24,14,3
125,Julian Araujo,MEX,Dif,Bournemouth,Premier League,23-166,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,0,0,4,1,0
126,Ronald Araújo,URU,Dif,Barcelona,La Liga,25-325,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,9,0,0,1,1,0
127,Cameron Archer,ENG,Att,Southampton,Premier League,23-189,2001,21,10,1.047,11.6,2,0,2,2,0,1,0,0,4.4,3.6,0.3,4.0,14,11,22,6,10,10,5
128,Carlens Arcus,HAI,Dif,Angers,Ligue 1,28-212,1996,18,17,1.441,16.0,0,1,1,0,0,0,2,0,0.0,0.0,1.2,1.2,27,44,3,0,24,11,1
129,Alphonse Areola,FRA,Por,West Ham,Premier League,31-334,1993,11,10,910,10.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
130,Adu Ares,ESP,Att,Athletic Club,La Liga,23-106,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0
131,Jesús Areso,ESP,Dif,Osasuna,La Liga,25-208,1999,20,19,1.711,19.0,0,1,1,0,0,0,4,0,0.1,0.1,1.7,1.7,63,61,3,0,23,9,6
132,David Argüelles,ESP,Cen,Getafe,La Liga,23-025,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
133,Joe Aribo,NGA,Cen,Southampton,Premier League,28-189,1996,22,14,1.375,15.3,2,0,2,2,0,0,1,0,2.3,2.3,1.5,3.8,29,53,12,6,15,21,1
134,Adam Armstrong,ENG,Att.Cen,Southampton,Premier League,27-351,1997,20,15,1.248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,25,7,12,5,9
135,Harrison Armstrong,ENG,Cen,Everton,Premier League,18-007,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,1,0,2,2,0
136,José Arnaiz,ESP,Att.Cen,Osasuna,La Liga,29-286,1995,6,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,2,1,0,0,5,0
137,Hákon Arnar Haraldsson,ISL,Cen.Att,Lille,Ligue 1,21-291,2003,11,8,701,7.8,2,1,3,2,0,0,2,0,1.8,1.8,0.8,2.5,19,39,13,4,8,10,1
138,Marko Arnautović,AUT,Att,Inter,Serie A,35-282,1989,7,0,99,1.1,0,1,1,0,0,0,1,0,0.9,0.9,0.4,1.3,1,5,2,0,3,1,4
139,Maximilian Arnold,GER,Cen,Wolfsburg,Bundesliga,30-244,1994,18,18,1.566,17.4,2,4,6,2,0,0,7,0,0.5,0.5,2.0,2.6,6,83,18,7,18,39,0
140,Jann-Fiete Arp,GER,Att.Cen,Holstein Kiel,Bundesliga,25-020,2000,14,2,432,4.8,2,0,2,1,1,2,5,1,2.5,0.9,0.6,1.5,6,12,9,5,11,9,2
141,Sergio Arribas,ESP,Dif,Betis,La Liga,21-351,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
142,Kepa Arrizabalaga,ESP,Por,Bournemouth,Premier League,30-115,1994,16,16,1.440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0
143,Arthur,BRA,Dif.Att,Leverkusen,Bundesliga,21-315,2003,9,4,365,4.1,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,8,12,0,0,8,4,0
144,Takuma Asano,JPN,Att.Cen,Mallorca,La Liga,30-077,1994,10,5,439,4.9,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,17,9,11,4,1,4,3
145,Raúl Asencio,ESP,Dif,Real Madrid,La Liga,21-348,2003,9,5,513,5.7,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,2,9,1,0,5,10,1
