Pos.,Giocatore,Nazione,Ruolo,Squadra,Competizione,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
591,Rodrigo De Paul,ARG,Cen,Atlético Madrid,La Liga,30-247,1994,20,11,1.118,12.4,3,3,6,3,0,0,5,0,1.1,1.1,3.4,4.5,39,136,12,4,8,18,0
592,Théo De Percin,MTQ,Por,Auxerre,Ligue 1,23-359,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
593,Mattia De Sciglio,ITA,Dif,Empoli,Serie A,32-098,1992,9,2,337,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,10,2,1,4,2,0
594,Lorenzo De Silvestri,ITA,Dif,Bologna,Serie A,36-248,1988,11,7,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,2,26,2,0,14,3,0
595,Thibault De Smet,BEL,Dif,Reims,Ligue 1,26-235,1998,5,2,192,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,9,1,0,1,2,0
596,Koni De Winter,BEL,Dif,Genoa,Serie A,22-228,2002,11,10,909,10.1,1,0,1,1,0,0,4,0,0.6,0.6,0.1,0.6,6,27,5,3,17,4,0
597,Alessandro Deiola,ITA,Cen,Cagliari,Serie A,29-178,1995,16,9,815,9.1,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.1,5,28,9,1,16,7,0
598,Romain Del Castillo,FRA,Att,Brest,Ligue 1,28-303,1996,16,10,892,9.9,4,3,7,1,3,4,0,0,3.7,0.5,2.6,3.1,23,46,9,3,9,12,0
599,Enrico Del Prato,ITA,Dif,Parma,Serie A,25-077,1999,19,17,1.597,17.7,3,0,3,3,0,0,4,0,1.0,1.0,0.8,1.8,3,50,9,4,6,6,0
600,Liam Delap,ENG,Att,Ipswich Town,Premier League,21-353,2003,22,21,1.674,18.6,8,2,10,6,2,2,7,0,6.4,4.8,1.6,6.4,35,18,35,17,48,32,10
601,Fisayo Dele-Bashiru,NGA,Cen.Att,Lazio,Serie A,23-355,2001,12,7,595,6.6,2,0,2,2,0,0,0,0,0.7,0.7,0.3,0.9,16,16,9,2,5,2,0
602,Olivier Deman,BEL,Dif,Werder Bremen,Bundesliga,24-295,2000,9,0,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,0,0,1,2,0
603,Ali Dembélé,FRA,Dif,Torino,Serie A,21-021,2004,9,1,115,1.3,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,3,5,0,0,3,0,0
604,Ousmane Dembélé,FRA,Att,Paris S-G,Ligue 1,27-256,1997,17,12,1.048,11.6,11,4,15,10,1,1,1,0,7.3,6.5,5.9,12.4,87,84,53,28,6,11,6
605,Ermedin Demirović,BIH,Att,Stuttgart,Bundesliga,26-307,1998,19,13,1.132,12.6,8,0,8,8,0,2,1,0,7.2,5.5,1.1,6.6,14,21,37,13,12,22,11
606,Sepp van den Berg,NED,Dif,Brentford,Premier League,23-037,2001,18,17,1.518,16.9,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,5,47,10,3,12,4,1
607,Arthur Desmas,FRA,Por,Le Havre,Ligue 1,30-294,1994,17,17,1.530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,1,6,0
