Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
221,Lewis Ferguson,SCO,Cen,Bologna,25-158,1999,4,3,280,3.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,3,10,4,2,6,6,0
222,Edimilson Fernandes,SUI,Cen,Brest,28-289,1996,7,6,471,5.2,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,2,12,4,2,4,1,0
223,Matias Fernandez-Pardo,BEL,Att.Cen,Lille,19-361,2005,5,2,226,2.5,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,14,6,3,1,3,4,3
224,Ryan Flamingo,NED,Dif,PSV Eindhoven,22-029,2002,7,7,589,6.5,2,0,2,2,0,0,0,1,0.3,0.3,0.2,0.5,4,40,4,2,7,3,0
225,Phil Foden,ENG,Cen.Att,Manchester City,24-246,2000,6,5,460,5.1,3,1,4,3,0,0,0,0,1.4,1.4,1.1,2.5,8,35,19,8,1,4,0
226,Youssouf Fofana,FRA,Cen,Milan,26-019,1999,7,7,599,6.7,0,2,2,0,0,0,2,0,0.3,0.3,1.0,1.3,8,40,9,2,7,8,0
227,James Forrest,SCO,Att,Celtic,33-206,1991,4,0,63,0.7,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,4,5,2,0,1,2,0
228,Héctor Fort,ESP,Dif,Barcelona,18-180,2006,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0
229,Alejandro Francés,ESP,Dif,Girona,22-181,2002,5,4,345,3.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,8,22,5,1,12,8,0
230,Lassina Franck Traoré,BFA,Att,Shakhtar,24-017,2001,5,0,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,1,0,3,0,1
231,Bartol Franjić,CRO,Dif.Cen,Shakhtar,25-015,2000,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
232,Davide Frattesi,ITA,Cen,Inter,25-099,1999,6,3,280,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,4,7,3,1,3,6,0
233,Iván Fresneda,ESP,Dif,Sporting CP,20-123,2004,1,1,75,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,3,3,0,0,0,0
234,Remo Freuler,SUI,Cen,Bologna,32-289,1992,7,6,506,5.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.3,3,26,1,0,5,4,0
235,Jeremie Frimpong,NED,Dif.Att,Leverkusen,24-050,2000,7,6,536,6.0,0,2,2,0,0,0,2,0,0.8,0.8,2.0,2.8,29,11,10,2,9,10,2
236,Chris Führich,GER,Att.Cen,Stuttgart,27-020,1998,6,5,413,4.6,1,0,1,1,0,0,0,0,0.3,0.3,1.1,1.4,28,35,5,3,2,2,1
237,Kyogo Furuhashi,JPN,Att,Celtic,30-009,1995,7,6,462,5.1,1,0,1,1,0,0,0,0,2.5,2.5,0.0,2.5,2,1,10,4,3,2,4
238,Matteo Gabbia,ITA,Dif,Milan,25-100,1999,5,4,359,4.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,14,3,0,6,2,0
239,Artur Gajdoš,SVK,Cen.Dif,Slovan Bratislava,21-009,2004,4,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,1,1,2,0,0
240,Cody Gakpo,NED,Att,Liverpool,25-267,1999,6,3,299,3.3,2,1,3,2,0,0,0,0,1.8,1.8,1.3,3.2,21,15,12,7,6,10,1
241,Javi Galán,ESP,Dif,Atlético Madrid,30-071,1994,5,5,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,10,14,2,0,7,6,0
242,Conor Gallagher,ENG,Cen,Atlético Madrid,24-358,2000,6,3,334,3.7,0,1,1,0,0,0,0,0,0.1,0.1,0.0,0.2,2,8,4,1,5,4,1
243,Silvère Ganvoula M'Boussy,CGO,Att,Young Boys,28-221,1996,7,5,426,4.7,1,0,1,1,0,0,1,0,1.6,1.6,0.0,1.6,8,4,12,5,9,2,2
244,Aleix García,ESP,Cen,Leverkusen,27-215,1997,7,3,281,3.1,1,0,1,1,0,0,2,0,0.9,0.9,0.0,0.9,0,14,5,2,4,2,0
245,Eric García,ESP,Dif.Cen,Barcelona,24-020,2001,3,1,27,0.3,1,0,1,1,0,0,0,1,0.3,0.3,0.0,0.3,0,3,1,1,1,1,0
246,Fran Garcia,ESP,Dif,Real Madrid,25-168,1999,5,1,187,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,8,0,0,2,0,0
247,Jastin García,ESP,Dif,Girona,21-014,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
248,Federico Gatti,ITA,Dif,Juventus,26-219,1998,6,5,501,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,23,2,1,4,3,0
249,Gavi,ESP,Cen,Barcelona,20-177,2004,4,1,113,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,2,8,2,1,3,1,0
250,Jusuf Gazibegović,BIH,Dif,Sturm Graz,24-324,2000,5,5,450,5.0,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.8,4,12,5,3,7,4,0
251,Paulo Gazzaniga,ARG,Por,Girona,33-027,1992,7,7,630,7.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
252,Viggo Gebel,GER,Dif,RB Leipzig,17-068,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
253,Lutsharel Geertruida,NED,Dif,RB Leipzig,24-195,2000,7,6,534,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,4,18,0,0,6,6,0
254,Niklas Geyrhofer,AUT,Dif,Sturm Graz,24-353,2000,5,4,359,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,2,0,2,1,0
255,Alaa Ghram,TUN,Dif,Shakhtar,23-189,2001,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0,3,2,0
256,Bryan Gil,ESP,Att.Cen,Girona,23-353,2001,6,6,447,5.0,0,0,0,0,0,0,3,0,0.5,0.5,1.4,1.9,20,17,4,1,8,11,2
257,Santiago Giménez,MEX,Att,Feyenoord,23-286,2001,4,3,267,3.0,4,1,5,3,1,1,1,0,2.5,1.7,0.1,1.8,4,3,6,5,1,4,2
258,Jamie Gittens,ENG,Att,Dortmund,20-174,2004,7,6,483,5.4,4,0,4,4,0,0,0,0,1.2,1.2,0.7,2.0,33,10,13,5,2,6,2
259,Omri Glazer,ISR,Por,Red Star,28-324,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
260,Oscar Gloukh,ISR,Att.Cen,RB Salzburg,20-303,2004,7,7,589,6.5,0,2,2,0,0,0,1,0,0.6,0.6,1.0,1.6,40,28,8,2,1,7,0
261,Serge Gnabry,GER,Att,Bayern Munich,29-199,1995,6,4,358,4.0,0,1,1,0,0,0,2,0,1.3,1.3,0.8,2.1,11,16,10,6,5,2,7
262,Ben Godfrey,ENG,Dif,Atalanta,27-014,1998,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
263,Aleksandr Golovin,RUS,Att.Cen,Monaco,28-244,1996,7,4,430,4.8,0,1,1,0,0,0,1,0,0.5,0.5,1.1,1.6,8,20,7,1,8,4,1
264,Angel Gomes,ENG,Cen,Lille,24-151,2000,3,2,97,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,3,0,0,4,2,0
265,Marlon Gomes,BRA,Cen,Shakhtar,21-046,2003,6,3,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.5,4,7,2,0,4,1,1
266,Joe Gomez,ENG,Dif,Liverpool,27-251,1997,4,1,122,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,10,1,1,1,1,0
267,Pedro Gonçalves,POR,Cen,Sporting CP,26-215,1998,3,2,201,2.2,0,2,2,0,0,0,1,0,0.7,0.7,1.4,2.1,5,9,4,2,4,2,1
268,Facundo González,URU,Dif,Feyenoord,21-237,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
269,Nicolás González,ARG,Att,Juventus,26-298,1998,3,3,154,1.7,1,1,2,1,0,0,0,0,0.7,0.7,0.3,1.1,2,4,2,1,0,2,0
270,Jon Gorenc Stanković,SVN,Cen,Sturm Graz,29-015,1996,4,3,279,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0,5,3,0
271,Leon Goretzka,GER,Cen.Dif,Bayern Munich,29-358,1995,6,3,316,3.5,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,9,32,9,3,4,3,0
272,Lucas Gourna-Douath,FRA,Cen,RB Salzburg,21-177,2003,6,4,300,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,15,0,0,9,14,1
273,Ryan Gravenberch,NED,Cen,Liverpool,22-258,2002,7,7,585,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,16,46,1,0,8,4,0
274,Jack Grealish,ENG,Att.Cen,Manchester City,29-141,1995,5,3,324,3.6,1,0,1,1,0,0,1,0,0.8,0.8,0.5,1.2,21,18,7,1,2,11,1
275,Leon Grgic,AUT,Att,Sturm Graz,19-007,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
276,Antoine Griezmann,FRA,Att.Cen,Atlético Madrid,33-314,1991,7,6,504,5.6,4,2,6,4,0,0,0,0,2.4,2.4,1.5,3.9,14,23,14,5,1,3,3
277,Álex Grimaldo,ESP,Dif.Att,Leverkusen,29-131,1995,7,7,606,6.7,2,1,3,2,0,0,0,0,1.3,1.3,1.8,3.1,15,37,15,7,1,5,1
278,Pascal Groß,GER,Cen.Dif,Dortmund,33-228,1991,7,5,426,4.7,0,2,2,0,0,0,1,0,0.1,0.1,2.4,2.5,7,28,2,1,3,1,0
279,Gabriel Gudmundsson,SWE,Dif,Lille,25-275,1999,7,5,455,5.1,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,13,16,3,1,7,6,1
280,Raphaël Guerreiro,POR,Dif,Bayern Munich,31-038,1993,4,3,274,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.5,0.7,8,22,4,1,1,0,0
281,Daouda Guindo,MLI,Dif,RB Salzburg,22-107,2002,4,1,154,1.7,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,1,1,3,0
282,Serhou Guirassy,GUI,Att,Dortmund,28-323,1996,7,5,475,5.3,7,2,9,3,4,4,0,0,5.7,2.5,1.2,3.7,5,12,14,8,3,9,4
283,Péter Gulácsi,HUN,Por,RB Leipzig,34-268,1990,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
284,Arda Güler,TUR,Cen,Real Madrid,19-339,2005,6,1,128,1.4,0,0,0,0,0,0,0,0,0.5,0.5,1.1,1.6,5,14,7,1,1,4,0
285,İlkay Gündoğan,GER,Cen,Manchester City,34-097,1990,7,4,395,4.4,2,0,2,2,0,0,0,0,1.6,1.6,0.4,2.1,16,42,14,5,0,2,0
286,Ivan Guteša,SRB,Por,Red Star,22-300,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
287,Miguel Gutiérrez,ESP,Cen.Dif,Girona,23-186,2001,6,6,540,6.0,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.8,12,26,7,3,3,9,0
288,Joško Gvardiol,CRO,Dif,Manchester City,23-006,2002,7,6,544,6.0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,16,50,2,1,8,2,0
289,Viktor Gyökeres,SWE,Att,Sporting CP,26-239,1998,7,6,576,6.4,6,1,7,4,2,2,1,0,4.5,3.0,1.7,4.7,28,12,21,9,11,10,4
290,Erling Haaland,NOR,Att,Manchester City,24-192,2000,7,7,589,6.5,6,0,6,5,1,2,0,0,7.4,5.9,0.1,6.0,7,6,31,16,5,3,0
291,Anis Hadj Moussa,ALG,Att.Dif,Feyenoord,22-353,2002,6,3,337,3.7,3,0,3,3,0,0,0,0,0.5,0.5,0.2,0.7,20,12,5,4,1,7,0
292,Jaouen Hadjam,ALG,Dif,Young Boys,21-309,2003,6,6,478,5.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,18,13,4,0,9,7,1
293,Amadou Haidara,MLI,Cen,RB Leipzig,26-364,1998,7,7,498,5.5,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3,19,5,2,4,1,1
294,Massadio Haïdara,MLI,Dif,Brest,32-058,1992,6,5,457,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,4,20,1,0,2,10,0
295,Achraf Hakimi,MAR,Dif,Paris S-G,26-086,1998,7,7,630,7.0,1,2,3,1,0,0,1,0,1.5,1.5,2.6,4.1,43,57,20,8,10,14,0
296,Dávid Hancko,SVK,Dif,Feyenoord,27-047,1997,7,7,630,7.0,1,0,1,1,0,0,1,0,1.2,1.2,0.2,1.4,12,40,9,1,2,0,2
297,Lukáš Haraslín,SVK,Att,Sparta Prague,28-248,1996,5,4,239,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,4,6,2,2,8,1
298,Conrad Harder,DEN,Att.Cen,Sporting CP,19-297,2005,6,1,88,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,2,6,3,1,1,2
299,Reo Hatate,JPN,Cen,Celtic,27-069,1997,7,6,522,5.8,1,1,2,1,0,0,1,0,1.1,1.1,1.1,2.2,15,30,16,5,5,8,0
300,Kai Havertz,GER,Att.Cen,Arsenal,25-232,1999,7,6,540,6.0,4,1,5,4,0,0,0,0,2.6,2.6,0.9,3.6,3,18,14,6,11,7,4
301,Benjamin Henrichs,GER,Dif.Cen,RB Leipzig,27-341,1997,6,5,474,5.3,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,6,21,9,3,6,3,0
302,Pedro Henrique,BRA,Dif,Shakhtar,22-202,2002,5,5,428,4.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,7,6,1,0,3,3,0
303,Lucas Hernández,FRA,Dif,Paris S-G,28-350,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0
304,Theo Hernández,FRA,Dif,Milan,27-115,1997,7,7,630,7.0,0,0,0,0,0,0,2,0,1.0,1.0,0.6,1.6,19,34,15,2,5,8,1
305,Yangel Herrera,VEN,Cen,Girona,27-015,1998,4,4,307,3.4,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.7,2,20,9,2,11,9,0
306,Isak Hien,SWE,Dif,Atalanta,26-016,1999,6,6,529,5.9,0,1,1,0,0,0,1,0,0.7,0.7,0.2,0.9,4,17,5,0,6,7,0
307,Stefan Hierländer,AUT,Cen,Sturm Graz,33-361,1991,5,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
308,Piero Hincapié,ECU,Dif,Leverkusen,23-020,2002,7,7,592,6.6,1,0,1,1,0,0,2,1,0.4,0.4,0.2,0.6,7,30,5,2,9,3,1
309,Morten Hjulmand,DEN,Cen,Sporting CP,25-218,1999,7,7,630,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,3,20,5,2,7,9,0
310,Jonas Hofmann,GER,Cen.Att,Leverkusen,32-199,1992,3,1,131,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.4,1,10,1,0,0,0,0
311,Emil Holm,SWE,Dif,Bologna,24-261,2000,3,2,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,4,0,0,4,2,1
312,Tomi Horvat,SVN,Cen.Att,Sturm Graz,25-311,1999,7,2,194,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,13,3,0,3,3,0
313,Arbër Hoxha,ALB,Dif.Cen,Dinamo Zagreb,26-115,1998,5,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,2,0,0,1,0
314,Lukáš Hrádecký,FIN,Por,Leverkusen,35-066,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
315,Yang Hyunjun,KOR,Att,Celtic,22-249,2002,3,0,49,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,3,2,0,1,1,0
316,Arijon Ibrahimović,GER,Att,Bayern Munich,19-049,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
317,Adam Idah,IRL,Att,Celtic,23-353,2001,7,1,168,1.9,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,2,0,6,3,1,1,1
318,Danylo Ihnatenko,UKR,Cen,Slovan Bratislava,27-322,1997,5,4,329,3.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,1,9,2,0
319,George Ilenikhena,FRA,Att,Monaco,18-166,2006,5,0,102,1.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.5,1,3,3,1,4,2,3
320,Luka Ilić,SRB,Cen.Att,Red Star,25-211,1999,4,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,0,1,0,0
321,Marko Ilić,SRB,Por,Red Star,26-361,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
322,Samuel Iling-Junior,ENG,Att.Cen,Bologna,21-117,2003,7,2,271,3.0,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,12,7,4,1,4,3,0
323,Kastriot Imeri,SUI,Cen,Young Boys,24-216,2000,4,4,245,2.7,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,4,12,4,1,3,6,0
324,Hwang In-beom,KOR,Cen,Feyenoord,28-131,1996,6,6,523,5.8,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,7,29,6,2,10,4,0
325,Gonçalo Inácio,POR,Dif,Sporting CP,23-157,2001,5,4,341,3.8,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,9,6,2,0,2,0
326,Ismaily,BRA,Dif,Lille,35-018,1990,2,1,84,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,6,2,1,2,0,0
327,Franco Israel,URU,Por,Sporting CP,24-282,2000,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
328,Cedric Itten,SUI,Att,Young Boys,28-033,1996,6,2,204,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.6,2,1,4,0,9,1,2
329,Mirko Ivanić,MNE,Cen.Att,Red Star,31-138,1993,4,2,257,2.9,1,1,2,1,0,0,0,0,0.9,0.9,0.6,1.5,9,17,8,3,0,2,0
330,Luka Ivanušec,CRO,Cen.Att,Feyenoord,26-064,1998,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,1,0
331,Ardon Jashari,SUI,Cen,Club Brugge,22-183,2002,6,6,532,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,23,5,1,8,5,0
332,Seedy Jatta,NOR,Att,Sturm Graz,21-317,2003,7,4,308,3.4,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,5,2,2,5,6,4
333,Gabriel Jesus,BRA,Att.Cen,Arsenal,27-301,1997,5,3,258,2.9,0,1,1,0,0,0,1,0,1.4,1.4,0.4,1.8,6,5,8,4,6,1,4
334,Alistair Johnston,CAN,Dif,Celtic,26-113,1998,7,7,566,6.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,11,33,1,1,6,15,0
335,Max Johnston,SCO,Dif,Sturm Graz,21-034,2003,5,3,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,10,0,0,2,0,1
336,Curtis Jones,ENG,Cen,Liverpool,23-365,2001,6,4,297,3.3,0,2,2,0,0,0,0,0,0.4,0.4,2.0,2.3,11,16,8,2,2,3,0
337,Frenkie de Jong,NED,Cen,Barcelona,27-262,1997,6,1,165,1.8,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,13,3,0,4,2,0
338,Luuk de Jong,NED,Att,PSV Eindhoven,34-155,1990,7,7,592,6.6,2,0,2,2,0,0,1,0,3.2,3.2,0.5,3.7,1,12,16,7,7,8,1
339,Jorginho,ITA,Cen,Arsenal,33-040,1991,4,1,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,7,0,0,1,1,0
340,Diogo Jota,POR,Att,Liverpool,28-056,1996,2,1,97,1.1,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0,5,2,1,3,0,1
341,Juanpe,ESP,Dif,Girona,33-274,1991,4,3,301,3.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,10,1,1,2,0,0
342,Mauro Júnior,BRA,Dif.Cen,PSV Eindhoven,25-268,1999,7,6,528,5.9,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,4,20,7,1,4,3,0
343,Vinicius Júnior,BRA,Att,Real Madrid,24-201,2000,6,6,540,6.0,7,1,8,6,1,1,3,0,4.5,3.7,1.8,5.5,36,16,21,12,12,7,0
344,Ferran Jutglà,ESP,Att,Club Brugge,25-363,1999,7,6,467,5.2,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,6,7,11,3,3,7,2
345,Issa Kaboré,BFA,Dif,Benfica,23-262,2001,2,1,99,1.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,2,0,0,3,0,1
346,Lukas Kačavenda,CRO,Cen.Att,Dinamo Zagreb,21-333,2003,6,2,217,2.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,6,5,1,1,5,4,1
347,Kaan Kairinen,FIN,Cen,Sparta Prague,26-038,1998,7,7,622,6.9,2,0,2,2,0,0,1,0,0.5,0.5,0.2,0.7,4,21,4,3,7,1,0
348,Pierre Kalulu,FRA,Dif,Juventus,24-238,2000,7,7,630,7.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,9,26,1,0,5,1,0
349,Boubacar Kamara,FRA,Cen,Aston Villa,25-067,1999,5,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,5,22,2,1,6,6,0
350,Kevin Kampl,SVN,Cen,RB Leipzig,34-112,1990,5,2,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,14,2,0,4,1,0
351,Harry Kane,ENG,Att,Bayern Munich,31-185,1993,6,6,540,6.0,5,1,6,2,3,3,0,0,5.4,3.4,0.9,4.3,7,14,24,11,2,8,4
352,Lee Kang-in,KOR,Att.Cen,Paris S-G,23-345,2001,7,4,370,4.1,0,0,0,0,0,0,0,0,0.3,0.3,1.6,1.9,12,28,6,3,3,5,0
353,Guélor Kanga,GAB,Cen.Att,Red Star,34-150,1990,4,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,2,0,1,8,0
354,Atakan Karazor,,Cen,Stuttgart,28-108,1996,6,6,463,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,2,31,3,0,6,12,0
355,Rick Karsdorp,NED,Dif,PSV Eindhoven,29-353,1995,5,3,243,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,3,27,2,0,3,0,1
356,Guram Kashia,GEO,Dif,Slovan Bratislava,37-209,1987,7,7,618,6.9,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,4,17,3,1,5,5,0
357,Aleksandar Katai,SRB,Att,Red Star,33-358,1991,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
358,Silas Katompa,COD,Att,Red Star,26-115,1998,7,7,536,6.0,2,0,2,2,0,0,1,0,0.9,0.9,0.6,1.5,13,18,9,4,9,7,2
359,Takumu Kawamura,JPN,Cen,RB Salzburg,25-154,1999,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
360,Thilo Kehrer,GER,Dif,Monaco,28-130,1996,7,7,630,7.0,1,1,2,1,0,0,2,0,0.9,0.9,0.0,0.9,7,36,6,2,6,0,0
361,Yannik Keitel,GER,Cen,Stuttgart,24-349,2000,3,1,132,1.5,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,1,9,5,1,5,1,0
362,Caoimhín Kelleher,IRL,Por,Liverpool,26-067,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
363,Marvin Keller,SUI,Por,Young Boys,22-210,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0
364,Kevin,BRA,Cen.Att,Shakhtar,22-025,2003,6,4,369,4.1,2,0,2,2,0,0,0,0,1.0,1.0,0.5,1.5,17,7,9,4,0,6,1
365,Daniil Khudiakov,RUS,Por,Sturm Graz,21-020,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
366,Joshua Kimmich,GER,Cen.Dif,Bayern Munich,29-356,1995,7,7,630,7.0,0,2,2,0,0,0,1,0,0.4,0.4,1.8,2.2,17,65,9,4,3,3,0
367,Otar Kiteishvili,GEO,Cen.Att,Sturm Graz,28-309,1996,6,6,525,5.8,1,0,1,1,0,0,0,0,0.3,0.3,0.3,0.7,8,34,9,4,7,8,1
368,Jakub Kiwior,POL,Dif,Arsenal,24-349,2000,4,2,232,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,0,7,0,0,1,1,0
369,Maurits Kjærgaard,DEN,Cen,RB Salzburg,21-217,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,4,11,2,0,0,1,0
370,Lukas Klostermann,GER,Dif,RB Leipzig,28-240,1996,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0,1,0,0
371,Gregor Kobel,SUI,Por,Dortmund,27-054,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
372,Philipp Köhn,SUI,Por,Monaco,26-302,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
373,Orkun Kökçü,TUR,Cen,Benfica,24-031,2000,7,7,569,6.3,2,0,2,1,1,1,2,0,1.1,0.3,0.8,1.1,10,26,6,2,5,15,0
374,Koke,ESP,Cen,Atlético Madrid,33-021,1992,6,3,313,3.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,3,26,0,0,2,2,0
375,Sead Kolašinac,BIH,Dif,Atalanta,31-223,1993,7,7,503,5.6,1,1,2,1,0,0,0,0,0.8,0.8,0.6,1.4,13,43,3,1,5,4,1
