Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
113,Eduardo Camavinga,FRA,Cen,Real Madrid,22-080,2002,4,2,187,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.6,0.6,2,14,0,0,6,6,0
114,Andrea Cambiaso,ITA,Dif,Juventus,24-344,2000,6,5,486,5.4,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,18,25,2,0,2,2,0
115,Cole Campbell,USA,Att,Dortmund,18-344,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
116,Emre Can,GER,Dif.Cen,Dortmund,31-017,1994,6,4,402,4.5,1,1,2,0,1,1,0,0,0.8,0.0,0.1,0.1,2,19,0,0,9,7,0
117,Nicolás Capaldo,ARG,Cen.Dif,RB Salzburg,27-137,1997,7,4,431,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,7,9,2,0,10,7,0
118,Diego Carlos,BRA,Dif,Aston Villa,31-320,1993,6,5,484,5.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,21,1,0,8,1,0
119,Marco Carnesecchi,ITA,Por,Atalanta,24-212,2000,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
120,Julián Carranza,ARG,Att,Feyenoord,24-252,2000,3,1,107,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,1,1,0,3,4,2
121,Álvaro Carreras,ESP,Dif,Benfica,21-312,2003,7,7,630,7.0,0,1,1,0,0,0,3,0,0.2,0.2,1.1,1.2,13,32,4,1,7,5,2
122,Cameron Carter-Vickers,USA,Dif,Celtic,27-029,1997,5,5,426,4.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,9,24,1,0,5,1,0
123,Dani Carvajal,ESP,Dif,Real Madrid,33-018,1992,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,3,12,1,0,2,3,0
124,Marc Casado,ESP,Cen,Barcelona,21-137,2003,7,7,601,6.7,0,2,2,0,0,0,1,0,0.1,0.1,0.5,0.6,6,44,1,1,11,9,0
125,Nicolò Casale,ITA,Dif,Bologna,26-350,1998,3,1,129,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0,0,1,0
126,Matty Cash,POL,Dif.Att,Aston Villa,27-175,1997,3,3,250,2.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,3,11,6,2,5,3,1
127,Santiago Castro,ARG,Att,Bologna,20-122,2004,6,3,246,2.7,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,2,2,5,1,4,1,2
128,Geny Catamo,MOZ,Dif.Cen,Sporting CP,24-003,2001,7,5,414,4.6,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.3,14,17,5,1,3,10,1
129,Dani Ceballos,ESP,Cen,Real Madrid,28-175,1996,5,2,209,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,19,0,0,3,5,0
130,Julian Chabot,GER,Dif,Stuttgart,26-352,1998,7,6,557,6.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,24,7,1,3,7,0
131,El Chadaille Bitshiabu,FRA,Dif,RB Leipzig,19-258,2005,3,2,197,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0,0,1,0
132,Miguel Chaiwa,ZAM,Att,Young Boys,20-236,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
133,Brendan Chardonnet,FRA,Dif,Brest,30-038,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,11,1,0,4,9,0
134,Anrie Chase,JPN,Dif,Stuttgart,20-311,2004,4,1,138,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,1,0,1,0,0
135,Lucas Chevalier,FRA,Por,Lille,23-084,2001,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
136,Federico Chiesa,ITA,Att,Liverpool,27-096,1997,2,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,2,2,0,0,0
137,Tochi Chukwuani,DEN,Cen,Sturm Graz,21-311,2003,6,6,514,5.7,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.5,3,19,4,1,9,0,0
138,Samuel Chukwueze,NGA,Att,Milan,25-252,1999,4,1,196,2.2,0,1,1,0,0,0,2,0,0.2,0.2,0.5,0.7,19,15,7,0,2,3,1
139,Bobby Clark,ENG,Cen.Att,RB Salzburg,19-357,2005,5,4,293,3.3,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,11,2,1,4,3,0
140,Silvi Clúa,ESP,Cen,Girona,20-000,2005,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0
141,Elias Cobbaut,BEL,Dif,Sparta Prague,27-066,1997,2,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0
142,Ebrima Colley,GAM,Att.Cen,Young Boys,24-363,2000,7,4,306,3.4,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,7,8,6,1,5,8,1
143,Kingsley Coman,FRA,Att,Bayern Munich,28-230,1996,5,3,227,2.5,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,14,9,8,3,7,3,0
144,Francisco Conceição,POR,Att,Juventus,22-046,2002,6,4,406,4.5,1,1,2,1,0,0,2,0,0.4,0.4,0.2,0.7,36,11,8,3,7,10,0
145,Abdu Conté,POR,Dif,Young Boys,26-311,1998,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
146,Tommaso Corazza,ITA,Dif,Bologna,20-214,2004,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
147,Ángel Correa,ARG,Cen.Att,Atlético Madrid,29-326,1995,6,2,221,2.5,3,1,4,3,0,0,2,0,1.6,1.6,0.8,2.4,11,9,10,3,8,2,2
148,Soumaïla Coulibaly,FRA,Dif,Brest,21-107,2003,5,4,366,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0,1,4,0
149,Thibaut Courtois,BEL,Por,Real Madrid,32-263,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
150,Yan Couto,BRA,Dif.Att,Dortmund,22-240,2002,5,1,141,1.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,7,9,1,0,3,1,0
151,Juan Cuadrado,COL,Dif.Cen,Atalanta,36-248,1988,5,1,204,2.3,0,1,1,0,0,0,0,0,0.2,0.2,1.4,1.6,7,15,5,2,2,9,1
152,Pau Cubarsí,ESP,Dif,Barcelona,18-007,2007,7,7,568,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,60,1,0,7,3,0
153,Andres Cuenca,ESP,Dif,Barcelona,17-232,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
154,Adam Daghim,DEN,Att,RB Salzburg,19-123,2005,6,3,303,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,12,7,3,0,5,4,2
155,Ameen Al-Dakhil,BEL,Dif.Cen,Stuttgart,22-329,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0
156,Dálcio,GNB,Cen,Red Star,28-252,1996,5,0,183,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,6,4,0,4,3,0
157,Thijs Dallinga,NED,Att,Bologna,24-179,2000,7,4,400,4.4,1,0,1,1,0,0,0,0,1.7,1.7,0.0,1.7,4,4,10,6,7,3,6
158,Matteo Dams,BEL,Dif,PSV Eindhoven,20-326,2004,6,6,416,4.6,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,19,0,0,9,3,0
159,Kryštof Daněk,CZE,Att,Sparta Prague,22-024,2003,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0
160,Danilo,BRA,Dif,Juventus,33-198,1991,4,2,232,2.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,10,1,1,3,2,0
161,Arnaut Danjuma,NED,Att,Girona,27-364,1997,6,2,299,3.3,0,2,2,0,0,0,1,0,0.8,0.8,1.0,1.8,28,10,11,2,2,2,2
162,Matteo Darmian,ITA,Dif,Inter,35-058,1989,4,3,281,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,1,0,1,2,1
163,Juan David Cabal,COL,Dif,Juventus,24-021,2001,2,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,8,0,0,3,2,0
164,Jonathan David,CAN,Att,Lille,25-015,2000,7,6,539,6.0,5,1,6,3,2,2,2,0,3.8,2.3,0.6,2.9,6,11,13,6,8,7,1
165,Alphonso Davies,CAN,Dif,Bayern Munich,24-088,2000,6,6,494,5.5,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,29,36,4,1,2,10,1
166,Kevin De Bruyne,BEL,Cen,Manchester City,33-215,1991,5,3,234,2.6,0,0,0,0,0,0,0,0,0.5,0.5,1.1,1.6,8,22,8,2,3,0,0
167,Maxim De Cuyper,BEL,Dif,Club Brugge,24-038,2000,7,7,629,7.0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,7,31,7,3,4,5,1
168,Charles De Ketelaere,BEL,Att.Cen,Atalanta,23-325,2001,7,5,433,4.8,4,5,9,3,1,1,0,0,2.4,1.6,3.4,5.0,23,16,14,8,5,7,2
